#: table_doi: 10.17182/hepdata.77815.v1/t1
#: name: Table 1
#: description: Distributions of the $R(K^{*0})$ delta log-likelihood, $-(\ln L - \ln L_{best})$, for the three trigger categories combined in the low-q2 bin ($0.045 < q^2 < 1.1$ GeV$^{2}/c^4$).
#: data_file: data1.yaml
#: keyword reactions: P P --> B0 X | B0 --> K*(892)0 LEPTON+ LEPTON-
#: keyword observables: RATIO
#: keyword cmenergies: 7000.0 | 8000.0
#: keyword phrases: Lepton universality | $R_{K^{*0}}$ | B mesons | Proton-Proton Scattering | branching fraction ratio
#: RE,P P --> B0 < K*(892)0 LEPTON+ LEPTON- > X
#: SQRT(S) [GEV],7000, 8000
'R(K*)','-(ln L - ln L_best)'
'0.202','41.353'
'0.205','40.201'
'0.209','39.042'
'0.213','37.882'
'0.216','36.725'
'0.220','35.578'
'0.223','34.449'
'0.227','33.341'
'0.231','32.260'
'0.234','31.209'
'0.238','30.189'
'0.241','29.201'
'0.245','28.245'
'0.249','27.322'
'0.252','26.431'
'0.256','25.570'
'0.259','24.739'
'0.263','23.937'
'0.267','23.163'
'0.270','22.415'
'0.274','21.693'
'0.277','20.996'
'0.281','20.323'
'0.285','19.672'
'0.288','19.043'
'0.292','18.434'
'0.295','17.846'
'0.299','17.277'
'0.303','16.726'
'0.306','16.193'
'0.310','15.676'
'0.313','15.175'
'0.317','14.690'
'0.321','14.220'
'0.324','13.763'
'0.328','13.320'
'0.331','12.891'
'0.335','12.473'
'0.339','12.068'
'0.342','11.674'
'0.346','11.292'
'0.349','10.920'
'0.353','10.559'
'0.357','10.208'
'0.360','9.866'
'0.364','9.534'
'0.367','9.212'
'0.371','8.898'
'0.375','8.593'
'0.378','8.296'
'0.382','8.008'
'0.385','7.727'
'0.389','7.455'
'0.393','7.189'
'0.396','6.932'
'0.400','6.681'
'0.403','6.437'
'0.407','6.200'
'0.411','5.970'
'0.414','5.746'
'0.418','5.529'
'0.421','5.318'
'0.425','5.112'
'0.429','4.913'
'0.432','4.719'
'0.436','4.531'
'0.439','4.349'
'0.443','4.172'
'0.447','3.999'
'0.450','3.832'
'0.454','3.670'
'0.457','3.513'
'0.461','3.361'
'0.465','3.213'
'0.468','3.070'
'0.472','2.931'
'0.475','2.797'
'0.479','2.666'
'0.483','2.540'
'0.486','2.418'
'0.490','2.300'
'0.493','2.186'
'0.497','2.076'
'0.501','1.969'
'0.504','1.866'
'0.508','1.766'
'0.511','1.670'
'0.515','1.578'
'0.519','1.488'
'0.522','1.402'
'0.526','1.319'
'0.529','1.240'
'0.533','1.163'
'0.537','1.089'
'0.540','1.018'
'0.544','0.951'
'0.547','0.886'
'0.551','0.823'
'0.555','0.764'
'0.558','0.707'
'0.562','0.652'
'0.565','0.600'
'0.569','0.551'
'0.573','0.504'
'0.576','0.460'
'0.580','0.418'
'0.583','0.378'
'0.587','0.340'
'0.591','0.305'
'0.594','0.271'
'0.598','0.240'
'0.601','0.211'
'0.605','0.184'
'0.609','0.159'
'0.612','0.136'
'0.616','0.115'
'0.619','0.096'
'0.623','0.079'
'0.627','0.063'
'0.630','0.049'
'0.634','0.038'
'0.637','0.027'
'0.641','0.019'
'0.645','0.012'
'0.648','0.006'
'0.652','0.003'
'0.655','0.001'
'0.659','0.000'
'0.663','0.001'
'0.666','0.003'
'0.670','0.007'
'0.673','0.012'
'0.677','0.019'
'0.681','0.027'
'0.684','0.036'
'0.688','0.047'
'0.691','0.059'
'0.695','0.072'
'0.699','0.087'
'0.702','0.103'
'0.706','0.120'
'0.709','0.138'
'0.713','0.157'
'0.717','0.178'
'0.720','0.199'
'0.724','0.222'
'0.727','0.246'
'0.731','0.270'
'0.735','0.296'
'0.738','0.323'
'0.742','0.351'
'0.745','0.380'
'0.749','0.410'
'0.753','0.441'
'0.756','0.473'
'0.760','0.505'
'0.763','0.539'
'0.767','0.573'
'0.771','0.609'
'0.774','0.645'
'0.778','0.682'
'0.781','0.720'
'0.785','0.758'
'0.789','0.798'
'0.792','0.838'
'0.796','0.879'
'0.799','0.921'
'0.803','0.963'
'0.807','1.007'
'0.810','1.051'
'0.814','1.095'
'0.817','1.141'
'0.821','1.187'
'0.825','1.233'
'0.828','1.280'
'0.832','1.328'
'0.835','1.377'
'0.839','1.426'
'0.843','1.476'
'0.846','1.526'
'0.850','1.577'
'0.853','1.629'
'0.857','1.681'
'0.861','1.733'
'0.864','1.786'
'0.868','1.840'
'0.871','1.894'
'0.875','1.949'
'0.879','2.004'
'0.882','2.059'
'0.886','2.115'
'0.889','2.172'
'0.893','2.229'
'0.897','2.286'
'0.900','2.344'
'0.904','2.402'
'0.907','2.461'
'0.911','2.520'
'0.915','2.579'
'0.918','2.639'
'0.922','2.699'
'0.925','2.760'
'0.929','2.821'
'0.933','2.882'
'0.936','2.944'
'0.940','3.005'
'0.943','3.068'
'0.947','3.130'
'0.951','3.193'
'0.954','3.256'
'0.958','3.320'
'0.961','3.384'
'0.965','3.448'
'0.969','3.512'
'0.972','3.577'
'0.976','3.642'
'0.979','3.707'
'0.983','3.772'
'0.987','3.838'
'0.990','3.904'
'0.994','3.970'
'0.997','4.037'
'1.001','4.103'
'1.005','4.170'
'1.008','4.237'
'1.012','4.304'
'1.015','4.372'
'1.019','4.439'
'1.023','4.507'
'1.026','4.575'
'1.030','4.643'
'1.033','4.712'
'1.037','4.780'
'1.041','4.849'
'1.044','4.918'
'1.048','4.987'
'1.051','5.056'
'1.055','5.126'
'1.059','5.195'
'1.062','5.265'
'1.066','5.335'
'1.069','5.405'
'1.073','5.475'
'1.077','5.545'
'1.080','5.616'
'1.084','5.686'
'1.087','5.757'
'1.091','5.828'
'1.095','5.898'
'1.098','5.969'
'1.102','6.040'
'1.105','6.112'
'1.109','6.183'
'1.113','6.254'
'1.116','6.326'
'1.120','6.397'
'1.123','6.469'
'1.127','6.541'
'1.131','6.613'
'1.134','6.685'
'1.138','6.757'
'1.141','6.829'
'1.145','6.901'
'1.149','6.973'
'1.152','7.045'
'1.156','7.118'
'1.159','7.190'
'1.163','7.263'
'1.167','7.335'
'1.170','7.408'
'1.174','7.481'
'1.177','7.553'
'1.181','7.626'
'1.185','7.699'
'1.188','7.772'
'1.192','7.845'
'1.195','7.918'
'1.199','7.991'
'1.203','8.064'
'1.206','8.137'
'1.210','8.210'
'1.213','8.283'
'1.217','8.357'
'1.221','8.430'
'1.224','8.503'
'1.228','8.576'
'1.231','8.650'
'1.235','8.723'
'1.239','8.796'
'1.242','8.870'
'1.246','8.943'
'1.249','9.017'
'1.253','9.090'
'1.257','9.163'
'1.260','9.237'
'1.264','9.310'
'1.267','9.384'
'1.271','9.457'
'1.275','9.531'
'1.278','9.604'
'1.282','9.678'
'1.285','9.751'
'1.289','9.825'
'1.293','9.898'
'1.296','9.972'
'1.300','10.045'
'1.303','10.118'
'1.307','10.192'
'1.311','10.265'
'1.314','10.339'
'1.318','10.412'
'1.321','10.486'
'1.325','10.559'
'1.329','10.632'
'1.332','10.706'
'1.336','10.779'
'1.339','10.852'
'1.343','10.926'
'1.347','10.999'
'1.350','11.072'
'1.354','11.145'
'1.357','11.218'
'1.361','11.292'
'1.365','11.365'
'1.368','11.438'
'1.372','11.511'
'1.375','11.584'
'1.379','11.657'
'1.383','11.730'
'1.386','11.803'
'1.390','11.876'
'1.393','11.948'
'1.397','12.021'
'1.401','12.094'
'1.404','12.167'
'1.408','12.239'
'1.411','12.312'
'1.415','12.385'
'1.419','12.457'
'1.422','12.530'
'1.426','12.602'
'1.429','12.674'
'1.433','12.747'
'1.437','12.819'
'1.440','12.891'
'1.444','12.963'
'1.447','13.036'
'1.451','13.108'
'1.455','13.180'
