#: table_doi: 10.17182/hepdata.77815.v1/t2
#: name: Table 2
#: description: Distributions of the $R(K^{*0})$ delta log-likelihood, $-(\ln L - \ln L_{best})$, for the three trigger categories combined in the central-q2 bin ($1.1 < q^2 < 6.0$ GeV$^{2}/c^4$).
#: data_file: data2.yaml
#: keyword reactions: P P --> B0 X | B0 --> K*(892)0 LEPTON+ LEPTON-
#: keyword observables: RATIO
#: keyword cmenergies: 7000.0 | 8000.0
#: keyword phrases: Lepton universality | $R_{K^{*0}}$ | B mesons | Proton-Proton Scattering | branching fraction ratio
#: RE,P P --> B0 < K*(892)0 LEPTON+ LEPTON- > X
#: SQRT(S) [GEV],7000, 8000
'R(K*)','-(ln L - ln L_best)'
'0.202','38.921'
'0.205','37.789'
'0.209','36.692'
'0.213','35.630'
'0.216','34.601'
'0.220','33.603'
'0.223','32.636'
'0.227','31.699'
'0.231','30.790'
'0.234','29.907'
'0.238','29.052'
'0.241','28.221'
'0.245','27.415'
'0.249','26.632'
'0.252','25.872'
'0.256','25.133'
'0.259','24.416'
'0.263','23.719'
'0.267','23.042'
'0.270','22.383'
'0.274','21.743'
'0.277','21.120'
'0.281','20.515'
'0.285','19.926'
'0.288','19.352'
'0.292','18.795'
'0.295','18.252'
'0.299','17.723'
'0.303','17.209'
'0.306','16.708'
'0.310','16.220'
'0.313','15.744'
'0.317','15.281'
'0.321','14.830'
'0.324','14.391'
'0.328','13.963'
'0.331','13.546'
'0.335','13.139'
'0.339','12.743'
'0.342','12.357'
'0.346','11.981'
'0.349','11.615'
'0.353','11.257'
'0.357','10.909'
'0.360','10.570'
'0.364','10.239'
'0.367','9.917'
'0.371','9.603'
'0.375','9.297'
'0.378','8.999'
'0.382','8.708'
'0.385','8.425'
'0.389','8.149'
'0.393','7.880'
'0.396','7.618'
'0.400','7.363'
'0.403','7.115'
'0.407','6.873'
'0.411','6.637'
'0.414','6.407'
'0.418','6.184'
'0.421','5.966'
'0.425','5.754'
'0.429','5.548'
'0.432','5.347'
'0.436','5.152'
'0.439','4.962'
'0.443','4.777'
'0.447','4.597'
'0.450','4.421'
'0.454','4.251'
'0.457','4.086'
'0.461','3.925'
'0.465','3.768'
'0.468','3.616'
'0.472','3.468'
'0.475','3.325'
'0.479','3.186'
'0.483','3.050'
'0.486','2.919'
'0.490','2.791'
'0.493','2.668'
'0.497','2.548'
'0.501','2.432'
'0.504','2.319'
'0.508','2.210'
'0.511','2.104'
'0.515','2.002'
'0.519','1.903'
'0.522','1.807'
'0.526','1.714'
'0.529','1.624'
'0.533','1.538'
'0.537','1.454'
'0.540','1.374'
'0.544','1.296'
'0.547','1.221'
'0.551','1.148'
'0.555','1.079'
'0.558','1.012'
'0.562','0.948'
'0.565','0.886'
'0.569','0.827'
'0.573','0.770'
'0.576','0.715'
'0.580','0.663'
'0.583','0.613'
'0.587','0.566'
'0.591','0.521'
'0.594','0.477'
'0.598','0.437'
'0.601','0.398'
'0.605','0.361'
'0.609','0.326'
'0.612','0.293'
'0.616','0.262'
'0.619','0.233'
'0.623','0.206'
'0.627','0.181'
'0.630','0.157'
'0.634','0.136'
'0.637','0.116'
'0.641','0.097'
'0.645','0.081'
'0.648','0.066'
'0.652','0.052'
'0.655','0.041'
'0.659','0.030'
'0.663','0.022'
'0.666','0.014'
'0.670','0.009'
'0.673','0.004'
'0.677','0.002'
'0.681','0.000'
'0.684','0.000'
'0.688','0.001'
'0.691','0.004'
'0.695','0.008'
'0.699','0.013'
'0.702','0.019'
'0.706','0.027'
'0.709','0.035'
'0.713','0.045'
'0.717','0.056'
'0.720','0.069'
'0.724','0.082'
'0.727','0.096'
'0.731','0.112'
'0.735','0.129'
'0.738','0.146'
'0.742','0.165'
'0.745','0.185'
'0.749','0.205'
'0.753','0.227'
'0.756','0.250'
'0.760','0.273'
'0.763','0.297'
'0.767','0.323'
'0.771','0.349'
'0.774','0.376'
'0.778','0.404'
'0.781','0.433'
'0.785','0.462'
'0.789','0.493'
'0.792','0.524'
'0.796','0.556'
'0.799','0.589'
'0.803','0.622'
'0.807','0.657'
'0.810','0.692'
'0.814','0.727'
'0.817','0.764'
'0.821','0.801'
'0.825','0.839'
'0.828','0.877'
'0.832','0.916'
'0.835','0.956'
'0.839','0.997'
'0.843','1.037'
'0.846','1.079'
'0.850','1.121'
'0.853','1.164'
'0.857','1.208'
'0.861','1.252'
'0.864','1.296'
'0.868','1.341'
'0.871','1.387'
'0.875','1.433'
'0.879','1.480'
'0.882','1.527'
'0.886','1.575'
'0.889','1.623'
'0.893','1.672'
'0.897','1.721'
'0.900','1.770'
'0.904','1.821'
'0.907','1.871'
'0.911','1.922'
'0.915','1.974'
'0.918','2.025'
'0.922','2.078'
'0.925','2.130'
'0.929','2.184'
'0.933','2.237'
'0.936','2.291'
'0.940','2.345'
'0.943','2.400'
'0.947','2.455'
'0.951','2.511'
'0.954','2.567'
'0.958','2.623'
'0.961','2.679'
'0.965','2.736'
'0.969','2.793'
'0.972','2.851'
'0.976','2.909'
'0.979','2.967'
'0.983','3.025'
'0.987','3.084'
'0.990','3.143'
'0.994','3.203'
'0.997','3.262'
'1.001','3.322'
'1.005','3.382'
'1.008','3.443'
'1.012','3.504'
'1.015','3.565'
'1.019','3.626'
'1.023','3.687'
'1.026','3.749'
'1.030','3.811'
'1.033','3.874'
'1.037','3.936'
'1.041','3.999'
'1.044','4.062'
'1.048','4.125'
'1.051','4.188'
'1.055','4.252'
'1.059','4.316'
'1.062','4.380'
'1.066','4.444'
'1.069','4.508'
'1.073','4.573'
'1.077','4.638'
'1.080','4.703'
'1.084','4.768'
'1.087','4.833'
'1.091','4.899'
'1.095','4.964'
'1.098','5.030'
'1.102','5.096'
'1.105','5.162'
'1.109','5.229'
'1.113','5.295'
'1.116','5.362'
'1.120','5.428'
'1.123','5.495'
'1.127','5.562'
'1.131','5.629'
'1.134','5.696'
'1.138','5.764'
'1.141','5.831'
'1.145','5.899'
'1.149','5.966'
'1.152','6.034'
'1.156','6.102'
'1.159','6.170'
'1.163','6.238'
'1.167','6.306'
'1.170','6.375'
'1.174','6.443'
'1.177','6.511'
'1.181','6.580'
'1.185','6.649'
'1.188','6.717'
'1.192','6.786'
'1.195','6.855'
'1.199','6.924'
'1.203','6.993'
'1.206','7.062'
'1.210','7.131'
'1.213','7.200'
'1.217','7.269'
'1.221','7.339'
'1.224','7.408'
'1.228','7.478'
'1.231','7.547'
'1.235','7.617'
'1.239','7.686'
'1.242','7.756'
'1.246','7.826'
'1.249','7.895'
'1.253','7.965'
'1.257','8.035'
'1.260','8.105'
'1.264','8.174'
'1.267','8.244'
'1.271','8.314'
'1.275','8.384'
'1.278','8.454'
'1.282','8.524'
'1.285','8.594'
'1.289','8.664'
'1.293','8.734'
'1.296','8.804'
'1.300','8.874'
'1.303','8.944'
'1.307','9.015'
'1.311','9.085'
'1.314','9.155'
'1.318','9.225'
'1.321','9.295'
'1.325','9.365'
'1.329','9.436'
'1.332','9.506'
'1.336','9.576'
'1.339','9.646'
'1.343','9.716'
'1.347','9.787'
'1.350','9.857'
'1.354','9.927'
'1.357','9.997'
'1.361','10.067'
'1.365','10.138'
'1.368','10.208'
'1.372','10.278'
'1.375','10.348'
'1.379','10.418'
'1.383','10.488'
'1.386','10.558'
'1.390','10.629'
'1.393','10.699'
'1.397','10.769'
'1.401','10.839'
'1.404','10.909'
'1.408','10.979'
'1.411','11.049'
'1.415','11.119'
'1.419','11.189'
'1.422','11.259'
'1.426','11.329'
'1.429','11.399'
'1.433','11.469'
'1.437','11.538'
'1.440','11.608'
'1.444','11.678'
'1.447','11.748'
'1.451','11.817'
'1.455','11.887'
'1.458','11.957'
'1.462','12.027'
'1.465','12.096'
'1.469','12.166'
'1.473','12.235'
'1.476','12.305'
'1.480','12.374'
'1.483','12.444'
'1.487','12.513'
'1.491','12.582'
'1.494','12.652'
'1.498','12.721'
'1.501','12.790'
'1.505','12.859'
'1.509','12.929'
'1.512','12.998'
'1.516','13.067'
'1.519','13.136'
'1.523','13.205'
'1.527','13.274'
'1.530','13.343'
'1.534','13.412'
'1.537','13.480'
'1.541','13.549'
'1.545','13.618'
'1.548','13.687'
'1.552','13.755'
'1.555','13.824'
'1.559','13.892'
'1.563','13.961'
'1.566','14.029'
'1.570','14.097'
'1.573','14.166'
'1.577','14.234'
'1.581','14.302'
'1.584','14.371'
'1.588','14.438'
'1.591','14.507'
'1.595','14.575'
'1.599','14.643'
'1.602','14.710'
'1.606','14.778'
'1.609','14.846'
'1.613','14.914'
'1.617','14.981'
'1.620','15.049'
'1.624','15.117'
'1.627','15.184'
'1.631','15.251'
'1.635','15.319'
'1.638','15.386'
'1.642','15.453'
'1.645','15.521'
'1.649','15.588'
'1.653','15.655'
'1.656','15.722'
'1.660','15.789'
'1.663','15.855'
'1.667','15.922'
'1.671','15.989'
'1.674','16.056'
'1.678','16.123'
'1.681','16.189'
'1.685','16.256'
'1.689','16.322'
'1.692','16.388'
'1.696','16.455'
'1.699','16.521'
'1.703','16.587'
'1.707','16.653'
'1.710','16.719'
'1.714','16.785'
'1.717','16.851'
'1.721','16.917'
'1.725','16.982'
'1.728','17.048'
'1.732','17.114'
'1.735','17.179'
'1.739','17.245'
'1.743','17.310'
'1.746','17.375'
'1.750','17.441'
'1.753','17.506'
'1.757','17.571'
'1.761','17.636'
'1.764','17.701'
'1.768','17.766'
'1.771','17.831'
'1.775','17.896'
'1.779','17.960'
'1.782','18.025'
'1.786','18.090'
'1.789','18.154'
'1.793','18.218'
'1.797','18.283'
'1.800','18.347'
'1.804','18.411'
'1.807','18.475'
'1.811','18.539'
'1.815','18.603'
'1.818','18.667'
'1.822','18.731'
'1.825','18.795'
'1.829','18.859'
'1.833','18.922'
'1.836','18.986'
'1.840','19.049'
'1.843','19.112'
'1.847','19.176'
'1.851','19.239'
'1.854','19.302'
'1.858','19.365'
'1.861','19.428'
'1.865','19.491'
'1.869','19.554'
'1.872','19.617'
'1.876','19.679'
'1.879','19.742'
'1.883','19.804'
'1.887','19.867'
'1.890','19.929'
'1.894','19.992'
'1.897','20.054'
'1.901','20.116'
'1.905','20.178'
'1.908','20.240'
'1.912','20.302'
'1.915','20.364'
'1.919','20.426'
'1.923','20.487'
'1.926','20.549'
'1.930','20.611'
'1.933','20.672'
'1.937','20.733'
'1.941','20.795'
'1.944','20.856'
'1.948','20.917'
'1.951','20.978'
'1.955','21.039'
'1.959','21.100'
'1.962','21.161'
'1.966','21.222'
'1.969','21.282'
'1.973','21.343'
'1.977','21.403'
'1.980','21.464'
'1.984','21.524'
'1.987','21.584'
'1.991','21.645'
'1.995','21.705'
'1.998','21.765'

