analysis             sr                         totalmcevents  totalnormevents  totalsumofweights  totalsumofweights2  signalsumofweights  signalsumofweights2  signalnormevents   signal_err_stat   signal_err_sys     signal_err_tot    obs      bkg      bkgerr          signaleff          eff_err_stat       eff_err_sys        eff_err_tot        s95obs  s95exp  robs               robscons           robsconssysonly    rexp               rexpcons           rexpconssysonly    likelihood             
atlas_1602_09058     SR0b3j                     44050.0        10.5952          57.2195760408      0.265714606693      0.000464274990086   2.15551283793e-07    9.44000350419e-05  0.262459058377    1.52000056423e-05  0.262459058818    3.0      1.5      0.4             8.90969826355e-06  0.0247715058118    1.43461243227e-06  0.0247715058534    5.9     4.1     1.60000059393e-05  0                  1.17749196252e-05  2.30243987907e-05  0                  1.69443965338e-05  0.9663907720716627     
atlas_1602_09058     SR0b5j                     44050.0        10.5952          57.2195760408      0.265714606693      0.0                 0.0                  0.0                0.297542847522    0.0                0.297542847522    3.0      0.88     0.29            0.0                0.0280827966931    0.0                0.0280827966931    6.4     3.6     0.0                0                  0.0                0.0                0                  0.0                2.5712639817527148     
atlas_1602_09058     SR1b                       44050.0        10.5952          57.2195760408      0.265714606693      0.0                 0.0                  0.0                0.297542847522    0.0                0.297542847522    7.0      4.5      1.0             0.0                0.0280827966931    0.0                0.0280827966931    8.8     6.0     0.0                0                  0.0                0.0                0                  0.0                0.8783381578672993     
atlas_1602_09058     SR3b                       44050.0        10.5952          57.2195760408      0.265714606693      0.0                 0.0                  0.0                0.297542847522    0.0                0.297542847522    1.0      0.8      0.25            0.0                0.0280827966931    0.0                0.0280827966931    3.8     3.7     0.0                0                  0.0                0.0                0                  0.0                0.03824725181047919    
atlas_1604_01306     SR1                        44050.0        10.5952          57.2195760408      0.265714606693      0.00762553218821    3.39648004127e-05    0.00141199995231   0.140171902493    0.000128122420503  0.140171961048    264.0    295.0    34.0            0.000133267890394  0.0132297552187    1.20924966497e-05  0.0132297607452    49.0    63.0    2.88163255572e-05  0                  2.45281465853e-05  2.24126976556e-05  0                  1.90774473441e-05  0.8730606424746546     
atlas_1604_07773     EM1                        44050.0        10.5952          57.2195760408      0.265714606693      1.4502311083        0.00700161819078     0.268847483678     0.0154958222645   0.0253590455539    0.0297187095793   9472.0   9400.0   410.0           0.0253744604801    0.00146253230373   0.00239344661298   0.00280492200046   843.0   807.0   0.000318917536985  0.000261101779322  0.000269583213488  0.000333144341609  0.00027274944234   0.000281609230446  0.002913275598628791   
atlas_1604_07773     EM2                        44050.0        10.5952          57.2195760408      0.265714606693      1.62677234351       0.00807367388184     0.301587753796     0.0166399269421   0.0290731689281    0.033498303243    5542.0   5770.0   260.0           0.0284645645006    0.00157051560538   0.00274399434915   0.00316164897718   369.0   488.0   0.000817310985898  0.000668429638151  0.000688096901773  0.000618007692205  0.000505431427208  0.000520302780234  1.1645634076257796     
atlas_1604_07773     EM3                        44050.0        10.5952          57.2195760408      0.265714606693      1.76312045005       0.0088432070545      0.326826546175     0.0174146663737   0.0318048723932    0.0362604538424   2939.0   3210.0   170.0           0.0308466613349    0.00164363734273   0.00300181897399   0.00342234727446   185.0   310.0   0.00176662997932   0.00144518595607   0.00148468408351   0.00105427918121   0.000862449683463  0.000886021146614  3.1217709798582938     
atlas_1604_07773     EM4                        44050.0        10.5952          57.2195760408      0.265714606693      3.89197241485       0.0193094924419      0.721619157206     0.0257339414446   0.0695203462735    0.0741303870775   2324.0   2260.0   140.0           0.0681081203947    0.00242883017259   0.00656149447613   0.00699660101532   323.0   278.0   0.00223411503779   0.00185772545634   0.00188113247467   0.00259575236405   0.00215843641151   0.00218563233567   0.07470778914519265    
atlas_1604_07773     EM5                        44050.0        10.5952          57.2195760408      0.265714606693      3.91651058089       0.0194146452731      0.726103804867     0.0258036909846   0.0699206458701    0.0745300421798   747.0    686.0    50.0            0.0685313920329    0.00243541329891   0.0065992756975    0.00703432140779   157.0   111.0   0.00462486499915   0.00384633462224   0.00389448373019   0.00654147571952   0.00544031113236   0.00550841392469   0.8444577524643251     
