 m_0     m_1/2     m_~q       m_~g           2jets            3jets                 4jets
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
20  100  242.8  268.7  201.2550  410.6780  575.9320
20  150  348.0  384.0  467.0150  734.2310  655.8100
20  200  451.0  500.0  437.3300  693.6700  572.9220
20  225  501.8  557.1  385.3490  581.7410  499.0240
20  250  552.1  613.6  383.5140  530.1230  420.6920
20  275  601.9  669.7  3.5258  10.9601  8.1983
20  300  651.4  725.4  2.7833  9.0144  6.3160
20  325  700.6  780.6  2.5585  5.8930  4.8410
20  350  749.4  835.6  2.0068  4.5755  3.5420
20  375  797.8  890.1  1.5595  3.0925  2.0346
20  400  846.0  944.4  1.0362  2.0026  1.3430
20  450  941.7  1052.0  0.7351  0.9763  0.6387
20  500  1036.3  1158.7  0.2853  0.3907  0.1928
20  550  1130.1  1264.6  0.1416  0.1530  0.0748
20  600  1223.1  1369.6  0.0641  0.0726  0.0374
20  650  1315.5  1474.0  0.0281  0.0273  0.0149
20  700  1407.1  1577.6  0.0130  0.0113  0.0060
20  750  1498.2  1680.6  0.0058  0.0053  0.0029
20  800  1588.6  1783.1  0.0031  0.0030  0.0017
20  900  1768.0  1986.1  0.0005  0.0005  0.0003
20  1000  1945.4  2186.9  0.0001  0.0001  0.0000
20  1100  2120.9  2384.5  0.0000  0.0000  0.0000
20  1200  2294.6  2579.2  0.0000  0.0000  0.0000
50  100  246.3  268.8  397.0980  653.6980  562.8860
50  150  350.6  384.2  344.4720  668.4280  615.0880
50  200  453.2  500.4  436.1950  666.7350  556.8070
50  225  503.8  557.4  435.0780  628.2620  481.8000
50  250  553.9  614.0  408.6790  517.1080  376.4050
50  275  603.7  670.1  352.7500  412.2160  293.9940
50  300  653.0  725.7  273.5780  302.3440  212.5180
50  325  702.1  780.9  197.6800  218.6390  156.8480
50  350  750.8  835.8  140.3270  148.7310  104.7010
50  375  799.2  890.4  1.7040  3.7094  2.1506
50  400  847.3  944.6  1.1377  2.0195  1.0462
50  450  942.8  1052.2  0.6567  0.9852  0.5467
50  500  1037.3  1158.9  0.3188  0.3827  0.2015
50  550  1131.1  1264.8  0.1805  0.2049  0.0938
50  600  1224.0  1369.8  0.0762  0.0819  0.0447
50  650  1316.3  1474.1  0.0352  0.0336  0.0180
50  700  1407.9  1577.8  0.0149  0.0145  0.0084
50  750  1498.9  1680.8  0.0062  0.0064  0.0034
50  800  1589.3  1783.2  0.0027  0.0026  0.0015
50  900  1768.6  1986.3  0.0005  0.0005  0.0003
50  1000  1945.9  2187.0  0.0001  0.0001  0.0000
50  1100  2121.4  2384.7  0.0000  0.0000  0.0000
50  1200  2295.1  2579.4  0.0000  0.0000  0.0000
100  100  259.9  270.8  397.7780  664.9880  602.2970
100  150  360.6  385.7  363.9750  614.6700  541.7570
100  200  461.1  501.7  387.0070  638.2500  540.9510
100  225  511.0  558.7  393.3730  586.3470  458.6240
100  250  560.5  615.1  354.6070  473.0740  378.9350
100  275  609.7  671.1  310.8410  389.3920  305.7170
100  300  658.7  726.7  258.2610  293.8410  219.1410
100  325  707.3  781.9  211.6500  227.1760  163.8970
100  350  755.7  836.8  158.5940  162.9350  114.0810
100  375  803.8  891.3  111.3330  111.4400  77.0003
100  400  851.7  945.5  76.3462  74.1346  50.8627
100  450  946.8  1053.0  35.9943  33.3342  22.4068
100  500  1041.0  1159.7  17.1450  15.5076  10.3135
100  550  1134.4  1265.4  7.8711  6.9528  4.5845
100  600  1227.1  1370.4  0.0818  0.0853  0.0427
100  650  1319.1  1474.7  0.0393  0.0377  0.0199
100  700  1410.6  1578.4  0.0188  0.0194  0.0096
100  750  1501.4  1681.3  0.0077  0.0073  0.0036
100  800  1591.7  1783.7  0.0030  0.0028  0.0016
100  900  1770.7  1986.8  0.0006  0.0005  0.0003
100  1000  1947.9  2187.5  0.0001  0.0001  0.0001
100  1100  2123.2  2385.2  0.0000  0.0000  0.0000
100  1200  2296.8  2579.8  0.0000  0.0000  0.0000
200  100  308.9  277.9  209.1270  296.5000  311.3240
200  150  397.6  393.3  283.3420  487.4840  429.8070
200  200  490.9  506.5  353.7550  545.8780  443.8840
200  225  538.2  563.1  349.0740  519.9240  430.6490
200  250  585.5  619.3  293.2880  402.0770  340.7130
200  275  632.9  675.1  254.0260  318.8500  267.9700
200  300  680.3  730.4  203.6170  249.7890  203.9870
200  325  727.6  785.5  152.7690  184.8210  147.5820
200  350  774.8  840.1  118.4520  135.5670  107.8310
200  375  821.8  894.5  90.3387  100.7520  77.7653
200  400  868.8  948.6  65.6788  69.9100  53.8078
200  450  962.2  1056.0  34.3849  34.8902  26.0278
200  500  1055.1  1162.4  17.7125  17.2874  12.5849
200  550  1147.4  1268.0  9.0242  8.2322  5.6294
200  600  1239.2  1372.9  4.0861  3.5882  2.3579
200  650  1330.4  1477.0  1.8978  1.6191  1.0502
200  700  1421.2  1580.5  0.8985  0.7671  0.4952
200  750  1511.4  1683.4  0.4312  0.3613  0.2322
200  800  1601.1  1785.7  0.2089  0.1742  0.1094
200  900  1779.2  1988.7  0.0481  0.0395  0.0247
200  1000  1955.6  2189.3  0.0002  0.0002  0.0001
200  1100  2130.4  2387.2  0.0000  0.0000  0.0000
200  1200  2303.4  2581.4  0.0000  0.0000  0.0000
300  100  377.5  283.5  53.8644  200.3190  300.1680
300  150  452.7  401.3  157.1610  309.3630  358.5530
300  200  536.5  513.7  235.6640  390.1920  368.6660
300  225  580.1  569.9  249.2190  368.0950  320.4900
300  250  624.4  625.7  213.7820  291.8600  257.5210
300  275  669.2  681.1  198.4340  249.0010  206.2920
300  300  714.3  736.1  169.9140  202.8280  166.9730
300  325  759.6  790.9  130.7890  153.6960  125.7770
300  350  805.0  845.3  99.9137  114.1240  91.0616
300  375  850.5  899.5  75.3315  83.8974  67.1181
300  400  896.0  953.4  56.1850  60.4187  47.3667
300  450  987.0  1060.4  28.9650  29.7924  22.7939
300  500  1077.9  1166.5  14.7776  14.5094  10.9008
300  550  1168.5  1271.9  7.4824  7.1453  5.2698
300  600  1258.8  1376.6  3.7288  3.4804  2.5302
300  650  1348.8  1480.6  1.8496  1.6936  1.2168
300  700  1438.4  1583.9  0.9204  0.8323  0.5944
300  750  1527.6  1686.7  0.4587  0.4013  0.2713
300  800  1616.5  1788.9  0.2078  0.1773  0.1137
300  900  1793.2  1991.6  0.0444  0.0370  0.0232
300  1000  1968.4  2192.2  0.0096  0.0078  0.0048
300  1100  2142.1  2390.2  0.0019  0.0015  0.0009
300  1200  2314.2  2584.1  0.0004  0.0003  0.0002
400  100  457.2  287.6  57.1314  137.3120  217.1600
400  150  520.5  407.4  91.3534  209.6560  248.0570
400  200  594.6  522.0  121.9570  244.0980  278.0660
400  225  634.2  577.3  133.7110  240.6090  250.5000
400  250  675.0  633.3  132.6720  199.0860  195.8680
400  275  716.6  688.6  134.8740  185.9690  171.4280
400  300  759.0  743.4  119.7990  149.6470  129.1740
400  325  801.8  797.9  91.0553  110.6150  96.0332
400  350  845.1  852.0  73.6075  84.4686  70.6103
400  375  888.6  905.9  57.6325  64.0707  51.5706
400  400  932.4  959.6  43.2807  46.1548  36.7065
400  450  1020.4  1066.3  23.7503  24.0720  18.7863
400  500  1108.7  1172.0  12.1748  12.0039  8.9434
400  550  1197.1  1277.1  6.2858  6.0055  4.4768
400  600  1285.5  1381.5  3.1596  2.9860  2.2005
400  650  1373.8  1485.2  1.5649  1.4317  1.0430
400  700  1462.0  1588.4  0.7826  0.7078  0.5106
400  750  1549.9  1691.0  0.3796  0.3423  0.2447
400  800  1637.6  1793.0  0.1880  0.1659  0.1178
400  900  1812.3  1995.5  0.0441  0.0383  0.0267
400  1000  1985.9  2196.0  0.0089  0.0074  0.0046
400  1100  2158.3  2394.1  0.0017  0.0014  0.0009
400  1200  2329.3  2587.9  0.0003  0.0002  0.0001
500  100  543.5  290.8  63.5694  152.2530  217.3960
500  150  597.0  412.3  54.8272  150.3530  203.5070
500  200  662.2  528.5  73.6207  165.6810  209.1320
500  225  697.8  585.0  78.5392  158.2070  180.1050
500  250  735.0  640.0  70.7261  131.3520  146.6780
500  275  773.4  695.7  79.8365  130.0960  134.1820
500  300  812.7  750.9  69.9251  100.3720  97.9929
500  325  852.9  805.5  57.7873  75.7625  70.7201
500  350  893.7  859.7  49.7358  60.8480  53.3899
500  375  935.1  913.5  41.6198  46.5796  39.2668
500  400  976.8  967.0  31.8840  34.4746  28.4431
500  450  1061.3  1073.3  17.8512  18.3505  14.3608
500  500  1146.6  1178.7  9.5637  9.3597  7.2092
500  550  1232.5  1283.3  4.9359  4.7394  3.5846
500  600  1318.7  1387.4  2.4961  2.3371  1.7324
500  650  1405.0  1490.9  1.2735  1.1804  0.8761
500  700  1491.4  1593.8  0.6422  0.5865  0.4304
500  750  1577.8  1696.2  0.3131  0.2818  0.2028
500  800  1664.1  1798.1  0.1546  0.1381  0.0994
500  900  1836.4  2000.3  0.0358  0.0312  0.0219
500  1000  2008.0  2200.6  0.0078  0.0068  0.0046
500  1100  2178.7  2398.7  0.0016  0.0013  0.0009
500  1200  2348.3  2593.5  0.0003  0.0002  0.0001
600  100  633.6  293.4  34.5130  122.0130  154.0380
600  150  679.3  416.4  60.9420  142.6780  183.2310
600  200  736.8  533.8  60.8501  133.8360  156.3670
600  225  768.8  591.0  55.3477  112.4970  133.9080
600  250  802.5  647.3  44.4455  85.4442  96.8092
600  275  837.7  702.5  42.8383  75.4100  81.3422
600  300  874.1  757.5  41.2780  64.3360  67.0228
600  325  911.5  812.4  32.6295  48.2365  47.6217
600  350  949.8  866.9  27.1033  36.1881  34.9189
600  375  988.8  921.0  23.5872  28.8113  26.5854
600  400  1028.4  974.6  20.4586  23.5477  20.6404
600  450  1109.0  1081.0  12.7627  13.3112  10.8452
600  500  1191.1  1186.2  6.9757  6.8914  5.3693
600  550  1274.1  1290.6  3.6546  3.5415  2.7014
600  600  1357.8  1394.3  1.8876  1.7642  1.3109
600  650  1442.0  1497.5  0.9711  0.9011  0.6675
600  700  1526.4  1600.2  0.4958  0.4553  0.3355
600  750  1611.1  1702.3  0.2484  0.2248  0.1642
600  800  1695.8  1804.0  0.1233  0.1100  0.0797
600  900  1865.3  2005.9  0.0284  0.0249  0.0175
600  1000  2034.5  2205.9  0.0063  0.0054  0.0037
600  1100  2203.3  2404.0  0.0013  0.0011  0.0007
600  1200  2371.2  2599.7  0.0002  0.0002  0.0001
700  100  726.0  295.4  52.6745  153.4460  196.3360
700  150  765.8  419.8  48.3547  128.6320  161.8300
700  200  816.6  538.4  44.6931  98.9693  121.3590
700  225  845.3  596.1  38.6350  79.4519  93.7947
700  250  875.9  652.9  31.9428  60.8146  69.4740
700  275  908.1  708.9  28.9540  50.7375  55.6230
700  300  941.7  764.1  26.0189  42.3342  44.0153
700  325  976.4  818.7  20.6565  31.6038  32.2009
700  350  1012.2  873.4  17.1466  24.2481  24.7752
700  375  1048.8  927.7  13.2491  17.3676  17.1391
700  400  1086.2  981.6  11.0440  13.7057  13.2314
700  450  1162.8  1088.4  7.4695  8.4140  7.4076
700  500  1241.4  1193.9  4.7251  4.8367  3.9671
700  550  1321.3  1298.4  2.6802  2.5957  2.0184
700  600  1403.4  1402.0  1.3960  1.3242  1.0188
700  650  1484.2  1504.9  0.7189  0.6673  0.5025
700  700  1566.5  1607.3  0.3763  0.3447  0.2563
700  750  1649.2  1709.2  0.1861  0.1688  0.1234
700  800  1732.2  1810.7  0.0924  0.0827  0.0596
700  900  1898.7  2012.2  0.0221  0.0194  0.0139
700  1000  2065.3  2212.0  0.0049  0.0042  0.0029
700  1100  2231.8  2410.0  0.0010  0.0008  0.0006
700  1200  2397.9  2605.9  0.0002  0.0001  0.0001
800  100  820.1  297.4  71.4351  153.7780  186.6040
800  150  855.0  422.7  54.4146  118.5520  132.1720
800  200  900.3  542.3  33.4401  75.2891  89.6612
800  225  926.2  600.5  29.8238  60.6031  70.6479
800  250  954.0  657.8  22.6120  44.5581  49.5005
800  275  983.5  714.3  20.5175  36.7871  39.8196
800  300  1014.4  770.1  17.3001  29.3919  31.0355
800  325  1046.6  825.2  13.6593  21.6068  22.0728
800  350  1079.9  879.5  11.0923  16.9296  16.7178
800  375  1114.2  934.0  9.0191  12.7315  12.8031
800  400  1149.4  988.1  6.8436  8.9094  8.6613
800  450  1222.0  1095.2  4.4098  5.2019  4.9216
800  500  1297.0  1201.2  2.8216  3.0747  2.7511
800  550  1373.7  1306.0  1.6997  1.7300  1.4494
800  600  1451.9  1409.8  0.9887  0.9562  0.7587
800  650  1531.2  1512.8  0.5182  0.4863  0.3730
800  700  1611.2  1614.9  0.2712  0.2488  0.1869
800  750  1691.9  1716.7  0.1350  0.1227  0.0909
